city,places name,Rating,distance,category,places description
Kutch,Rann of Kutch,4.4,45,Wildlife/Nature,"Rann of Kutch , a large area of salt marshes is located in Gujarat , India . It is divided into : Great Rann of Kutch and Little Rann of Kutch .The name ""Rann"" has come from the Hindi word ran meaning ""desert"". The Hindi word is derived from Sanskrit word iri?a attested in the mythological books."
Kutch,Kutch Desert Wildlife Sanctuary,3.6,135,Wildlife/Nature,"Less than 100 km away from Bhuj, this sanctuary is spread over an area of about 7505.22 sq. km. in the Kutch District of Gujarat. This wildlife sanctuary is considered as one of the largest seasonal saline wetland areas."
Kutch,Dholavira,3.6,40,Historical,It is one of the largest remarkable excavations of the Indus Valley Civilization which was one of the most developed civilization roughly 4500 years ago.
Kutch,Kutch Museum,3.6,57,Historical,"The oldest museum of Gujarat, the Kutch Museum boasts of its collection of the extinct Kutchi Script and ancient coins. Tribal artifacts are also a part of the museum along with many other kinds of objects on display exhibits of embroidery, paintings, arms, musical instruments, sculpture and precious metalwork."
Kutch,Kutch Bustard Sanctuary,3.6,130,Wildlife/Nature,"Also known locally as the Lala Prajan Sanctuary, its primary aim is to conserve the Great Indian Bustard. Among many other different varieties of wildlife that can be found within the reserve, there are three different kinds of Bustards themselves in the sanctuary."
Kutch,"Mandvi Beach, Bhuj",3.3,116,Beaches,The Mandvi beach is one of the most serene beaches on the Northwestern shore. Its the perfect destination to come and relax with family and friends during winter mornings.
Kutch,Shopping in Kutch,3,57,Urban/Modern,"Exquisite handicraft consisting of embodied cloth, bed sheets, bandhani fabrics and enameled silver wear is what Kutch is famous for."
Kutch,"Aaina Mahal, Bhuj",3.2,57,Historical,"The Aina Mahal palace, or 'Hall of Mirrors' was built during the flamboyant rule of Lakhpatji in the middle of the 18th century and is very beautiful."
Kutch,Kandla Port and Mudra port,3.2,103,Urban/Modern,The Kandla Port is one of the 11 most important ports of India. The Mudra Port is another important commercial port in the Kutch.
Kutch,"Narayan Sarovar, Bhuj",3.3,135,Lakes/Rivers,"A combination of 5 holy lakes of Hinduism namely Man Sarovar, Pampa Sarovar, Bindu Sarovar, Narayan Sarovar and Pushkar Sarovar, this is one of the most significant religious sites for Hindus."
